"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Feb 21 05:36:24 GMT 2024","Wed Feb 21 05:36:24 GMT 2024","1","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"failed","Wed Feb 21 05:13:19 GMT 2024","Wed Feb 21 05:13:26 GMT 2024","7894","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"failed","Wed Feb 21 02:14:14 GMT 2024","Wed Feb 21 02:14:22 GMT 2024","7288","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"broken","Wed Feb 21 05:36:23 GMT 2024","Wed Feb 21 05:36:23 GMT 2024","2","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","setUp","setUp",""
"broken","Wed Feb 21 05:27:00 GMT 2024","Wed Feb 21 05:27:20 GMT 2024","20342","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Credentials."
"skipped","Wed Feb 21 05:36:24 GMT 2024","Wed Feb 21 05:36:24 GMT 2024","1","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCase","loginTestCase","Check the user able to login with valid Credentials."
"broken","Wed Feb 21 05:28:02 GMT 2024","Wed Feb 21 05:28:24 GMT 2024","22217","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"broken","Wed Feb 21 05:28:46 GMT 2024","Wed Feb 21 05:29:06 GMT 2024","20206","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"skipped","Wed Feb 21 05:36:23 GMT 2024","Wed Feb 21 05:36:23 GMT 2024","1","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","forgotPassword","forgotPassword",""
"broken","Wed Feb 21 05:19:18 GMT 2024","Wed Feb 21 05:19:18 GMT 2024","2","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","beforelogin","beforelogin",""
"broken","Wed Feb 21 05:27:42 GMT 2024","Wed Feb 21 05:28:02 GMT 2024","20144","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"broken","Wed Feb 21 05:27:21 GMT 2024","Wed Feb 21 05:27:42 GMT 2024","20801","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"failed","Wed Feb 21 02:14:32 GMT 2024","Wed Feb 21 02:14:39 GMT 2024","7167","Default Suite","OrangeHrm","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
"broken","Wed Feb 21 05:28:24 GMT 2024","Wed Feb 21 05:28:46 GMT 2024","21671","Suite","Test","Orangehrm.testcases.LoginPageTestCases","Orangehrm.testcases.LoginPageTestCases","loginTestCaseInavalid","loginTestCaseInavalid","Check the user able to login with invalid Credentials."
